代稱	COST	字首	字尾	名稱	屬性	合鳴效果	[主]生命	[主]攻擊	[主]生命百分比	[主]攻擊百分比	[主]防禦百分比	[主]暴擊	[主]暴擊傷害	[主]共鳴效率	[主]冷凝加成	[主]熱熔加成	[主]導電加成	[主]氣動加成	[主]衍射加成	[主]湮滅加成	[主]治療效果加成百分比	[副]生命	[副]生命百分比	[副]攻擊	[副]攻擊百分比	[副]防禦	[副]防禦百分比	[副]暴擊	[副]暴擊傷害	[副]共鳴效率	[副]共鳴技能傷害加成	[副]普攻傷害加成	[副]重擊傷害加成	[副]共鳴解放傷害加成
理論2 衍射 角 暴擊	4	理論2	暴擊	角	衍射	浮星祛暗		150				22.00%												24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 角 暴傷	4	理論2	暴傷	角	衍射	浮星祛暗		150					44.00%											24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 青羽鷺 屬傷1	3	理論2	屬傷1	青羽鷺	衍射	浮星祛暗		100											30.00%					24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 巡哨機傀 屬傷2	3	理論2	屬傷2	巡哨機傀	衍射	浮星祛暗		100											30.00%					24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 青羽鷺 攻1	3	理論2	攻1	青羽鷺	衍射	浮星祛暗		100		30.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 巡哨機傀 攻2	3	理論2	攻2	巡哨機傀	衍射	浮星祛暗		100		30.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 寒霜陸龜 1	1	理論2	1	寒霜陸龜	衍射	浮星祛暗	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 咕咕河豚 2	1	理論2	2	咕咕河豚	衍射	浮星祛暗	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 審判戰士 3	1	理論2	3	審判戰士	衍射	浮星祛暗	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 哀聲鷙 暴擊	4	理論2	暴擊	哀聲鷙	衍射	浮星祛暗		150				22.00%												24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 衍射 哀聲鷙 暴傷	4	理論2	暴傷	哀聲鷙	衍射	浮星祛暗		150					44.00%											24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 冷凝 輝螢軍勢 暴擊	4	理論1	暴擊	輝螢軍勢	冷凝	凝夜白霜		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 輝螢軍勢 暴傷	4	理論1	暴傷	輝螢軍勢	冷凝	凝夜白霜		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 巡哨機傀 屬傷1	3	理論1	屬傷1	巡哨機傀	冷凝	凝夜白霜		100							30.00%									24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 刺玫菇 屬傷2	3	理論1	屬傷2	刺玫菇	冷凝	凝夜白霜		100							30.00%									24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 巡哨機傀 攻1	3	理論1	攻1	巡哨機傀	冷凝	凝夜白霜		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 刺玫菇 攻2	3	理論1	攻2	刺玫菇	冷凝	凝夜白霜		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 寒霜陸龜 1	1	理論1	1	寒霜陸龜	冷凝	凝夜白霜	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 冷凝棱鏡 2	1	理論1	2	冷凝棱鏡	冷凝	凝夜白霜	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 遁地鼠 3	1	理論1	3	遁地鼠	冷凝	凝夜白霜	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論2 冷凝 輝螢軍勢 暴擊	4	理論2	暴擊	輝螢軍勢	冷凝	凝夜白霜		150				22.00%												24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 輝螢軍勢 暴傷	4	理論2	暴傷	輝螢軍勢	冷凝	凝夜白霜		150					44.00%											24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 巡哨機傀 屬傷1	3	理論2	屬傷1	巡哨機傀	冷凝	凝夜白霜		100							30.00%									24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 刺玫菇 屬傷2	3	理論2	屬傷2	刺玫菇	冷凝	凝夜白霜		100							30.00%									24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 巡哨機傀 攻1	3	理論2	攻1	巡哨機傀	冷凝	凝夜白霜		100		30.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 刺玫菇 攻2	3	理論2	攻2	刺玫菇	冷凝	凝夜白霜		100		30.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 寒霜陸龜 1	1	理論2	1	寒霜陸龜	冷凝	凝夜白霜	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 冷凝棱鏡 2	1	理論2	2	冷凝棱鏡	冷凝	凝夜白霜	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 冷凝 遁地鼠 3	1	理論2	3	遁地鼠	冷凝	凝夜白霜	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 熱熔 燎照之騎 暴擊	4	理論1	暴擊	燎照之騎	熱熔	熔山裂谷		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 燎照之騎 暴傷	4	理論1	暴傷	燎照之騎	熱熔	熔山裂谷		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 綠熔蜥 屬傷1	3	理論1	屬傷1	綠熔蜥	熱熔	熔山裂谷		100								30.00%								24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 紫羽鷺 屬傷2	3	理論1	屬傷2	紫羽鷺	熱熔	熔山裂谷		100								30.00%								24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 綠熔蜥 攻1	3	理論1	攻1	綠熔蜥	熱熔	熔山裂谷		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 紫羽鷺 攻2	3	理論1	攻2	紫羽鷺	熱熔	熔山裂谷		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 驚蟄獵手 1	1	理論1	1	驚蟄獵手	熱熔	熔山裂谷	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 鳴泣戰士 2	1	理論1	2	鳴泣戰士	熱熔	熔山裂谷	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 咔嚓嚓 3	1	理論1	3	咔嚓嚓	熱熔	熔山裂谷	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 導電 雲閃之鱗 暴擊	4	理論1	暴擊	雲閃之鱗	導電	徹空冥雷		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 雲閃之鱗 暴傷	4	理論1	暴傷	雲閃之鱗	導電	徹空冥雷		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 朔雷之鱗 暴擊	4	理論1	暴擊	朔雷之鱗	導電	徹空冥雷		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 朔雷之鱗 暴傷	4	理論1	暴傷	朔雷之鱗	導電	徹空冥雷		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 奏諭樂師 屬傷1	3	理論1	屬傷1	奏諭樂師	導電	徹空冥雷		100									30.00%							24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 紫羽鷺 屬傷2	3	理論1	屬傷2	紫羽鷺	導電	徹空冥雷		100									30.00%							24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 奏諭樂師 攻1	3	理論1	攻1	奏諭樂師	導電	徹空冥雷		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 紫羽鷺 攻2	3	理論1	攻2	紫羽鷺	導電	徹空冥雷		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 驚蟄獵手 1	1	理論1	1	驚蟄獵手	導電	徹空冥雷	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 鳴泣戰士 2	1	理論1	2	鳴泣戰士	導電	徹空冥雷	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 導電 先鋒幼岩 3	1	理論1	3	先鋒幼岩	導電	徹空冥雷	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論2 導電 雲閃之鱗 暴擊	4	理論2	暴擊	雲閃之鱗	導電	徹空冥雷		150				22.00%												24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 雲閃之鱗 暴傷	4	理論2	暴傷	雲閃之鱗	導電	徹空冥雷		150					44.00%											24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 奏諭樂師 屬傷1	3	理論2	屬傷1	奏諭樂師	導電	徹空冥雷		100									30.00%							24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 紫羽鷺 屬傷2	3	理論2	屬傷2	紫羽鷺	導電	徹空冥雷		100									30.00%							24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 奏諭樂師 攻1	3	理論2	攻1	奏諭樂師	導電	徹空冥雷		100		30.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 紫羽鷺 攻2	3	理論2	攻2	紫羽鷺	導電	徹空冥雷		100		30.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 驚蟄獵手 1	1	理論2	1	驚蟄獵手	導電	徹空冥雷	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 鳴泣戰士 2	1	理論2	2	鳴泣戰士	導電	徹空冥雷	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
理論2 導電 先鋒幼岩 3	1	理論2	3	先鋒幼岩	導電	徹空冥雷	2280			18.00%														24	5.40%			8.40%	16.80%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 氣動 飛廉之猩 暴擊	4	理論1	暴擊	飛廉之猩	氣動	嘯谷長風		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 飛廉之猩 暴傷	4	理論1	暴傷	飛廉之猩	氣動	嘯谷長風		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 戲猿 屬傷1	3	理論1	屬傷1	戲猿	氣動	嘯谷長風		100										30.00%						24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 車刃鐮 屬傷2	3	理論1	屬傷2	車刃鐮	氣動	嘯谷長風		100										30.00%						24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 戲猿 攻1	3	理論1	攻1	戲猿	氣動	嘯谷長風		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 車刃鐮 攻2	3	理論1	攻2	車刃鐮	氣動	嘯谷長風		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 呼咻咻 1	1	理論1	1	呼咻咻	氣動	嘯谷長風	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 碎獠豬 2	1	理論1	2	碎獠豬	氣動	嘯谷長風	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 氣動 巡徊獵手 3	1	理論1	3	巡徊獵手	氣動	嘯谷長風	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 冷凝 鳴鐘之龜 暴擊-隱世	4	理論1	暴擊-隱世	鳴鐘之龜	冷凝	隱世回光		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 冷凝 鳴鐘之龜 暴傷-隱世	4	理論1	暴傷-隱世	鳴鐘之龜	冷凝	隱世回光		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 物理 堅岩鬥士 共鳴效率-隱世	3	理論1	共鳴效率-隱世	堅岩鬥士	物理	隱世回光		100						32.00%										24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 衍射 磐石守衛 共鳴效率-隱世	3	理論1	共鳴效率-隱世	磐石守衛	衍射	隱世回光		100						32.00%										24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 熱熔 火鬃狼 1-隱世	1	理論1	1-隱世	火鬃狼	熱熔	隱世回光	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 游弋蝶 2-隱世	1	理論1	2-隱世	游弋蝶	無	隱世回光	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 無 無常凶鷺 暴擊	4	理論1	暴擊	無常凶鷺	無	輕雲出月		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 無常凶鷺 暴傷	4	理論1	暴傷	無常凶鷺	無	輕雲出月		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 箭簇熊 共鳴效率	3	理論1	共鳴效率	箭簇熊	無	輕雲出月		100						32.00%										24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 綠熔蜥 共鳴效率	3	理論1	共鳴效率	綠熔蜥	無	輕雲出月		100						32.00%										24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 冷凝棱鏡 1	1	理論1	1	冷凝棱鏡	無	輕雲出月	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 呼咻咻 2	1	理論1	2	呼咻咻	無	輕雲出月	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
理論1 無 無常凶鷺 暴擊-輕雲	4	理論1	暴擊-輕雲	無常凶鷺	無	輕雲出月		150				22.00%												24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 無常凶鷺 暴傷-輕雲	4	理論1	暴傷-輕雲	無常凶鷺	無	輕雲出月		150					44.00%											24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 綠熔蜥 導電-輕雲	3	理論1	導電-輕雲	綠熔蜥	無	輕雲出月		100									30.00%							24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 車刃鐮 導電-輕雲	3	理論1	導電-輕雲	車刃鐮	無	輕雲出月		100									30.00%							24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 綠熔蜥 冷凝-輕雲	3	理論1	冷凝-輕雲	綠熔蜥	無	輕雲出月		100							30.00%									24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 車刃鐮 冷凝-輕雲	3	理論1	冷凝-輕雲	車刃鐮	無	輕雲出月		100							30.00%									24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 堅岩鬥士 攻擊-輕雲	3	理論1	攻擊-輕雲	堅岩鬥士	無	輕雲出月		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 雪鬃狼 攻擊-輕雲	3	理論1	攻擊-輕雲	雪鬃狼	無	輕雲出月		100		30.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 綠熔蜥 共效-輕雲	3	理論1	共效-輕雲	綠熔蜥	無	輕雲出月		100						32.00%										24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 車刃鐮 共效-輕雲	3	理論1	共效-輕雲	車刃鐮	無	輕雲出月		100						32.00%										24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 冷凝棱鏡 1-輕雲	1	理論1	1-輕雲	冷凝棱鏡	無	輕雲出月	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
理論1 無 呼咻咻 2-輕雲	1	理論1	2-輕雲	呼咻咻	無	輕雲出月	2280			18.00%														24	5.40%			8.40%	10.08%	1.92%	1.60%	1.60%	1.60%	1.60%
																																		
小畢業[攻] 冷凝 鳴鐘之龜 暴擊-隱世	4	小畢業[攻]	暴擊-隱世	鳴鐘之龜	冷凝	隱世回光		150				22.00%												40	9.00%			8.40%	16.80%					
小畢業[攻] 冷凝 鳴鐘之龜 暴傷-隱世	4	小畢業[攻]	暴傷-隱世	鳴鐘之龜	冷凝	隱世回光		150					44.00%											40	9.00%			8.40%	16.80%					
小畢業[攻] 物理 堅岩鬥士 共鳴效率-隱世	3	小畢業[攻]	共鳴效率-隱世	堅岩鬥士	物理	隱世回光		100						32.00%										40	9.00%			8.40%	16.80%					
小畢業[攻] 衍射 磐石守衛 共鳴效率-隱世	3	小畢業[攻]	共鳴效率-隱世	磐石守衛	衍射	隱世回光		100						32.00%										40	9.00%			8.40%	16.80%					
小畢業[攻] 熱熔 火鬃狼 1-隱世	1	小畢業[攻]	1-隱世	火鬃狼	熱熔	隱世回光	2280			18.00%														40	9.00%			8.40%	16.80%					
小畢業[攻] 無 游弋蝶 2-隱世	1	小畢業[攻]	2-隱世	游弋蝶	無	隱世回光	2280			18.00%														40	9.00%			8.40%	16.80%					
																																		
小畢業[守岸人-生] 冷凝 鳴鐘之龜 暴擊-隱世	4	小畢業[守岸人-生]	暴擊-隱世	鳴鐘之龜	冷凝	隱世回光		150				22.00%										450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 冷凝 鳴鐘之龜 暴傷-隱世	4	小畢業[守岸人-生]	暴傷-隱世	鳴鐘之龜	冷凝	隱世回光		150					44.00%									450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 冷凝 鳴鐘之龜 生命-隱世	4	小畢業[守岸人-生]	生命-隱世	鳴鐘之龜	冷凝	隱世回光		150	33.00%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 物理 堅岩鬥士 共鳴效率-隱世	3	小畢業[守岸人-生]	共鳴效率-隱世	堅岩鬥士	物理	隱世回光		100						32.00%								450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 衍射 磐石守衛 共鳴效率-隱世	3	小畢業[守岸人-生]	共鳴效率-隱世	磐石守衛	衍射	隱世回光		100						32.00%								450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 物理 堅岩鬥士 屬傷-隱世	3	小畢業[守岸人-生]	屬傷-隱世	堅岩鬥士	物理	隱世回光		100											30.00%			450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 衍射 磐石守衛 屬傷-隱世	3	小畢業[守岸人-生]	屬傷-隱世	磐石守衛	衍射	隱世回光		100											30.00%			450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 物理 堅岩鬥士 生-隱世	3	小畢業[守岸人-生]	生-隱世	堅岩鬥士	物理	隱世回光		100	30.00%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 衍射 磐石守衛 生-隱世	3	小畢業[守岸人-生]	生-隱世	磐石守衛	衍射	隱世回光		100	30.00%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 熱熔 火鬃狼 1-隱世	1	小畢業[守岸人-生]	1-隱世	火鬃狼	熱熔	隱世回光	2280		22.80%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 無 游弋蝶 2-隱世	1	小畢業[守岸人-生]	2-隱世	游弋蝶	無	隱世回光	2280		22.80%													450	9.00%						16.80%	9.60%				
																																		
小畢業[守岸人-生] 衍射 哀聲鷙 暴傷-浮星	4	小畢業[守岸人-生]	暴傷-浮星	哀聲鷙	衍射	浮星祛暗		150					44.00%									450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 衍射 哀聲鷙 生命-浮星	4	小畢業[守岸人-生]	生命-浮星	哀聲鷙	衍射	浮星祛暗		150	33.00%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 氣動 青羽鷺 共鳴效率-浮星	3	小畢業[守岸人-生]	共鳴效率-浮星	青羽鷺	氣動	浮星祛暗		100						32.00%								450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 冷凝 巡哨機傀 共鳴效率-浮星	3	小畢業[守岸人-生]	共鳴效率-浮星	巡哨機傀	冷凝	浮星祛暗		100						32.00%								450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 氣動 青羽鷺 生-浮星	3	小畢業[守岸人-生]	生-浮星	青羽鷺	氣動	浮星祛暗		100	30.00%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 冷凝 巡哨機傀 生-浮星	3	小畢業[守岸人-生]	生-浮星	巡哨機傀	冷凝	浮星祛暗		100	30.00%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 氣動 青羽鷺 屬傷-浮星	3	小畢業[守岸人-生]	屬傷-浮星	青羽鷺	氣動	浮星祛暗		100											30.00%			450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 冷凝 巡哨機傀 屬傷-浮星	3	小畢業[守岸人-生]	屬傷-浮星	巡哨機傀	冷凝	浮星祛暗		100											30.00%			450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 無 寒霜陸龜 1-浮星	1	小畢業[守岸人-生]	1-浮星	寒霜陸龜	無	浮星祛暗	2280		22.80%													450	9.00%						16.80%	9.60%				
小畢業[守岸人-生] 冷凝 咕咕河豚 2-浮星	1	小畢業[守岸人-生]	2-浮星	咕咕河豚	冷凝	浮星祛暗	2280		22.80%													450	9.00%						16.80%	9.60%				
																																		
小畢業[攻] 湮滅 無常凶鷺 暴擊-輕雲	4	小畢業[攻]	暴擊-輕雲	無常凶鷺	湮滅	輕雲出月		150				22.00%												40	9.00%			8.40%	16.80%					
小畢業[攻] 湮滅 無常凶鷺 暴傷-輕雲	4	小畢業[攻]	暴傷-輕雲	無常凶鷺	湮滅	輕雲出月		150					44.00%											40	9.00%			8.40%	16.80%					
小畢業[攻] 冷凝 鳴鐘之龜 暴擊-輕雲	4	小畢業[攻]	暴擊-輕雲	鳴鐘之龜	冷凝	輕雲出月		150				22.00%												40	9.00%			8.40%	16.80%					
小畢業[攻] 冷凝 鳴鐘之龜 暴傷-輕雲	4	小畢業[攻]	暴傷-輕雲	鳴鐘之龜	冷凝	輕雲出月		150					44.00%											40	9.00%			8.40%	16.80%					
小畢業[攻] 熱熔 綠熔蜥 共效-輕雲	3	小畢業[攻]	共效-輕雲	綠熔蜥	熱熔	輕雲出月		100						32.00%										40	9.00%			8.40%	16.80%					
小畢業[攻] 氣動 車刃鐮 共效-輕雲	3	小畢業[攻]	共效-輕雲	車刃鐮	氣動	輕雲出月		100						32.00%										40	9.00%			8.40%	16.80%					
小畢業[攻] 熱熔 綠熔蜥 冷凝-輕雲	3	小畢業[攻]	冷凝-輕雲	綠熔蜥	熱熔	輕雲出月		100							30.00%									40	9.00%			8.40%	16.80%					
小畢業[攻] 氣動 車刃鐮 冷凝-輕雲	3	小畢業[攻]	冷凝-輕雲	車刃鐮	氣動	輕雲出月		100							30.00%									40	9.00%			8.40%	16.80%					
小畢業[攻] 物理 堅岩鬥士 攻擊-輕雲	3	小畢業[攻]	攻擊-輕雲	堅岩鬥士	物理	輕雲出月		100		30.00%														40	9.00%			8.40%	16.80%					
小畢業[攻] 冷凝 雪鬃狼 攻擊-輕雲	3	小畢業[攻]	攻擊-輕雲	雪鬃狼	冷凝	輕雲出月		100		30.00%														40	9.00%			8.40%	16.80%					
小畢業[攻] 冷凝 冷凝棱鏡 1-輕雲	1	小畢業[攻]	1-輕雲	冷凝棱鏡	冷凝	輕雲出月	2280			18.00%														40	9.00%			8.40%	16.80%					
小畢業[攻] 氣動 呼咻咻 2-輕雲	1	小畢業[攻]	2-輕雲	呼咻咻	氣動	輕雲出月	2280			18.00%														40	9.00%			8.40%	16.80%					
小畢業[攻] 衍射 阿嗞嗞 3-輕雲	1	小畢業[攻]	3-輕雲	阿嗞嗞	衍射	輕雲出月	2280			18.00%														40	9.00%			8.40%	16.80%					
																																		
小畢業[共技] 湮滅 無常凶鷺 暴擊-輕雲	4	小畢業[共技]	暴擊-輕雲	無常凶鷺	湮滅	輕雲出月		150				22.00%													9.00%			8.40%	16.80%		9.00%			
小畢業[共技] 湮滅 無常凶鷺 暴傷-輕雲	4	小畢業[共技]	暴傷-輕雲	無常凶鷺	湮滅	輕雲出月		150					44.00%												9.00%			8.40%	16.80%		9.00%			
小畢業[共技] 冷凝 鳴鐘之龜 暴擊-輕雲	4	小畢業[共技]	暴擊-輕雲	鳴鐘之龜	冷凝	輕雲出月		150				22.00%													9.00%			8.40%	16.80%		9.00%			
小畢業[共技] 冷凝 鳴鐘之龜 暴傷-輕雲	4	小畢業[共技]	暴傷-輕雲	鳴鐘之龜	冷凝	輕雲出月		150					44.00%												9.00%			8.40%	16.80%		9.00%			
小畢業[共技] 熱熔 綠熔蜥 共效-輕雲	3	小畢業[共技]	共效-輕雲	綠熔蜥	熱熔	輕雲出月		100						32.00%											9.00%			8.40%	16.80%		9.00%			
